Gloss	Azerbaijani	Baraba Tatar	Bashkir	Chulym	Chuvash	Crimean Tatar	Cuman	Dolgan	Gagauz	Kara-Kalpak	Karachay-Balkar	Karaim	Kazakh	Khakas	Khalaj	Kumyk	Kyrgyz	Nogai	Northern Altai	Old Turkic	Salar	Shor	Southern Altai	Tatar	Tofa	Turkish	Turkmen	Tuvan	Uyghur	Uzbek	West Yugur
ABOVE_1	ystyndæ~yzærindæ	yst	østønɛn			yst~yzer	øzɛ~ustun		ystyndɛ~yzerindɛ	ystinde		yst	ystɘnen~ɘnde	ystynʤe~ynde		ystynde	ystyndø	ystinde	yst	yz~yst	iʃt	ystynde	ystyle~ystynde	østennɛn	yˤstynde	yzerinde~ystynde	yʃtynde	yʃt	ystidɛ~yzrɛ	ustidɑ	jyze
ABOVE_2								yrdynen																							
ABOVE_3					ɕijɘn																										
ABOVE_4											bɑʃɯndɑ										bɑʃ						bɑʃɯndɑ				
ABOVE_5												ɑʃɯrɑ													ɑʤɯrɯ						
ABOVE_6																												qɯrɯ			
ANT_1			qɯrmɯθqɑ	qumursqɑ		qɯmɯrsqɑ				qumɯrsqɑ	qumursχɑ	kumurskɑ	qʊmɯrsqɑ	χɯmɯsχɑ	ɡumurɣɑːʧ	χomursɣɑ	qumursqɑ	qumɯrsqɑ		qumursɣɑ	qumusqɑ	qɯmɯsqɑʃ		qɯrmɯsqɑ	hɯmɯsqɑ			qɯmɯsqɑjɑq			
ANT_2	ɡɑrɯʃɡɑ					qɑrɯnʤɑ			kɑrɯmʤɑ																	kɑrɯnʤɑ	ɢɑrɯnʤɑ				
ANT_3																			ʧubɑlɑ	ʧymeli			ʧɯmɑlɯ						ʧømyli	ʧumɔli	
ARM OR HAND_1	ɡol	qol	qul	qol	χul	qol			kol	qol	qol	kol	qol	χol	qol	qol	qol	qol	qol	qol	qol	qol	qol	qul	qol	koɫ	ɢol	χol	qol	qol	qol
ARM OR HAND_2	æl				ɑlɤ̆ʷ	el	el	iliː	el						ɛl					eliɡ	el~il					elʲ	el				elɯɣ~eliɡ
ARM OR HAND_3											bilek	bilek~bilɛk																			
ASH_1	cyl		køl	kulʲ	kɘ̆ʷl	kyl		kyl	kyl	kyl	kyl	kyl	kyl	kyl	kil	kyl	kyl	kyl	kyl	kyl	kul~kyl	kyl	kyl	køl	hyl	cylʲ	kyl	χyl	kyl	kul	kul
ASK (REQUEST)_1		sorɑ	horɑ	sur		sorɑ				sorɑ			sʊrɑ	sur			surɑ	sorɑ	surɑ			surɑ	surɑ	sorɑ		sor	θorɑ		sorɑ	sorɑ	
ASK (REQUEST)_2	dilæ										tile					tile		tile		tile					tɘle			dile			tele
ASK (REQUEST)_3								kørdøː																							
ASK (REQUEST)_4	istæ					iste			iste																						
ASK (REQUEST)_5					ɯjt																										
ASK (REQUEST)_6																			øtør												
ASK (REQUEST)_7																			øtør												
ASK (REQUEST)_9							col					kol								kol											qol~qul
AT_1	dɑ	tɑ	dɑ~tɑ~ðɑ~lɑ	tɑ~dɑ	rɑ~dɑ~tɑ		dɑ		dɑ~tɑ		dɑ	dɑ~tɑ				dɑ	dɑ~tɑ	dɑ~tɑ	tɑ~dɑ	tɑ	tɑ~dɑ	tɑ~dɑ	dɑ~tɑ		dɑ~tɑ	tɑ~dɑ	dɑ	dɑ~tɑ	dɑ~tɑ		tɑ~dɑ
AT_3								ihiɡer																							
AT_4															ʧɑ																
