	Erzya	Estonian	Finnish	Hungarian	Ingrian	Karelian	Khanty	Kildin Saami	Komi-Permyak	Komi-Zyrian	Livonian	Mansi	Meadow Mari	Nganasan	North Saami	Selkup	Skolt Saami	South Saami	Tundra Nenets	Udmurt	Veps	Votic	Võro
ALL_1				mind												muntə							
ALL_2														bənsə									
ALL_3									bɯdɤs	bɯd													
ALL_4								puɡː							pʊ̯ɔh		pukɐ						
ALL_5	veɕe																						
ALL_6																				vɑɲmɯz			
ALL_7										stɑv		soːχ											
ALL_8							əjsɑ̆ɣɯt																
ALL_9				øsːɛʃ																			
ALL_10		kɤik	kɑikːi		kɑi	kɑikːi												kɑːjhkɛ			kɑik	kɤik	kˑɤikʲˑ
ALL_11													ʧə̠lɑ										
ALL_12																			mɑlʔ				
ASH_1	kulov							kunː							kʊtnɑ		kunːɐ	kuβnɛ					
ASH_2		tuhk	tuxkɑ			tʊxkɑ					tuːˀɡɨd			tuːdʲoəʔ							tʊxk	tuhk	tˑuhkˑ
ASH_3																			tunzʲibʲɑ				
ASH_4					poro		pær																
ASH_5																				peɲ			
ASH_6				hɒmu									lomə̠ʒ			ɕiːmə							
ASH_7							kɑjəm		pɤjim	pɤjim													
ASH_8												χuːʎəm											
BARK_1								paːr̥ːk							paːrɑhkʊ			pɑːrhkuʌ					
BARK_2									kɑʨ					kɑsu		qɑːsə							kˑosˑkʲˑ
BARK_3	kerʲ	puːkoːr~korp	kɑːrnɑ	keːrɛɡ	koːri	kʊɔri	kær	keːrː		kɯrɕ	kuːorʲ	keːr	kyr				kərːɐ			kur	kɔrʲ	koːri	kˑuːrʲ
BARK_4								peːsʲː															
BARK_5	sud											jiwsuːl								sul			
BARK_6																			sʲɑbt				
BARK_7													ʃym										
BELLY_1	peke															perkə							
BELLY_2										ruʃku			myʃkə̠r										
BELLY_3												soːriɣ~sim											
BELLY_4																			tʲiw				
BELLY_5														ʧɑjbə	ʧɔ̯ɑvji		ʧɔuʝːɘ	ʧoæjːiɛ					
BELLY_6								ʧuejːv															
BELLY_7		vɑtːs	ʋɑʦɑ~mɑɦɑ	ɟomor	vɑʦɑ						vɑtsɑː										vɑʦ	vɑtːs~mɑko	
BELLY_8		kɤht					kŏɳ~ont													kɤt	kɔxt		kˑɤtː
BELLY_9									kɯnɤm														
BELLY_10				hɒʃ																			
BELLY_11							poɣlɯ																
BIG_1									ɯʤɯt	ɯʤɯd										bɑʥːɯm			
BIG_2		suːr	suːri		suːr	suːri		ʃuːrː			suːr				stʊ̯ɔris		ʃurːɐ	stuʌrɛ			sʊrʲ	suːr	sˑuːrʲ
BIG_3													kuɣu										
BIG_4																uə̠rqə							
BIG_5							eɳə							ɑniʔə									
BIG_6												jɑniɣ											
BIG_7	pokʃ																		ŋɑrkɑ				
BIG_8				nɒɟ																			
BIG_9			iso																				
BIG_10							lŏɣɑt																
BIRD_1		lint	lintu		lind̥u	lintʊ					lind										lind	lintu	
BIRD_2										kiʦɑ													
BIRD_3																							ʦirkˑ
BIRD_4										lebɑʨ													
BIRD_5																		lɛtːiɛ					
BIRD_6																suːrəm~tilʧətisuːrəm							
BIRD_7																				tɯloburdo			
BIRD_8														təibəː									
BIRD_9							wɑjəɣ		kɑj				kɑjə̠k										
BIRD_10				mɒdaːr				lɒːnʲːt							lɔdti		lɔdʲːɘ						
BIRD_11	nɑrmuɲ																						
BIRD_12												towəluːj											
BIRD_13																			tʲirtʲɑsɑrmʲik				
BITE_1								kaːʦʲːke									kaʦʲc͡çːɛd						
BITE_2															kaːskih								
