Gloss	Bemba	Bulu	Fang	Ganda	Gogo	Haya	Kalanga	Kamba	Kikuyu	Kimbundu	Koongo	Lingala	Lozi	Luba-Katanga	Luba-Lulua	Makhuwa	Meru	Ndonga	Ndzwani Comorian	Ngazidja Comorian	North Ndebele	Nyanja	Nyankole	Rundi	Shona	Songe	Sukuma	Swahili	Tonga	Tsonga	Tswa	Tswana	Umbundu	Venda	Xhosa	Yaka	Zulu
ANIMAL_1	inama			enɲama	nimu	eɲamaiʃwa	ɲama	ɲama	ɲama	ɲama		njama	nama			inama	ɲama	onjama	ʃiɲama	iɲama	injama	ɲama	eɲama	iɲama	ɲama		ɲama	ɲama	ɲama	ɲama	ɲama	nama		ɲama	iɲama	ɲama	iɲama
ANIMAL_2		tit	ʦit																																		
ANIMAL_3											mbisi																										
ANIMAL_4														mwita												mwita											
ANIMAL_5															muɲiɲe																						
ANIMAL_6																																	ositu				
ARM_1	ukuboko				muwoko		boko	kẅɔkɔ	ɣuɔkɔ	lukuaku		lobɔkɔ			kuboko		uko							ukuboko	ruoko	mboko			kuboko	voko	woko	bɔχɔ					
ARM_2		wo																																			
ARM_3			enam																																		
ARM_4				mukono		mkono										mɔnɔ			mhono	mhono		kono	omukono				nkono	mkono							umkʰono		
ARM_5											koko							okwako															okwokwo				
ARM_6													lizoho																								
ARM_7														diːkasa																							
ARM_8																					inɡalo																inɡalo
ARM_9																																		ʧanda			
ARM_10																																				bɔ	
ASH_1	imito									ditokua								omutoko																			
ASH_2		asup	asup																																		
ASH_3				vvu	mafu												ifu		vu	vu							ibu										
ASH_4						eijwi																	eiju														
ASH_5							lota						mulola								lotʰa			umuɲota	dota							mõlõrã		mulora	umlotʰa		umlota
ASH_6								mou	mohu																												
ASH_7											bombi																										
ASH_8												mputulu																									
ASH_9														buto	butu											buto											
ASH_10																ittuura																					
ASH_11																						pʰulusa															
ASH_12																												sizi									
ASH_13																													itwe								
ASH_14																														nkuma	kʰuma						
ASH_15																																	etiko				
ASH_16																																				suve	
BARK_1	bos																																				
BARK_2		ebapele	ebap																																		
BARK_3					ibada																												oʧipeta				
BARK_4						ekiʃuʃu				kiʃiʃi													ekiʃuʃu	iɡiʃiʃwa		kifusu											
BARK_5								ekɔndɛ	ikɔni																												
BARK_6											kibula			kibale																							
BARK_7												poso																									
BARK_8													likwati																cikwa			kwati		ɡwati			
BARK_9															ʧizubu																						
BARK_10																nikula		ejula									iɡula										
BARK_11																	ikanda					kʰunɡwa															
BARK_12																			ɡozi	ɡozi																	
BARK_13																					kʰonkotʰa				koko											koko	
BARK_14																														rihanti	hati						
BARK_15																																			iǁolo		iliǁolo
BED_1	lunɡa																																				
BED_2		enon	enɔŋ																																		
BED_3				kitanda		eʧitanda		ketanda											ʃiʈanɖa	iʈanda			ekitanda			kididi	jitanda										
BED_4					ulili				orere								ulili							uburiri													
BED_5							lawo																									laɔ		malalo			
BED_6											mfulu																										
BED_7													mumbeta								umbeda																umbʱede
BED_8															bulaalu																		ula				
BED_9																nkorimi																					
BED_10																						bedula													ibʱedi		
BED_11																									mubʱeʤa					mubedo							
BED_12																																				tanɡe	
BELLY_1	ifumo							eβu		divumu	kivumu	libumu		fu	difu											efu											
BELLY_2		abum	abum																																		
BELLY_3					nda				nda														enda	inda					ida								
BELLY_4						eibundaenda												epunda																			
BELLY_5							tumbu																		dumbu		ŋ̤umbi	tumbo			rumbu			tʰumbu			
BELLY_6													mba						mimba	mmba		mimba										mpa					
BELLY_7																ntʰukwa																					
BELLY_8																	ndeu																				
BELLY_9																					isisu														isisu		isisu
BELLY_10																														kʰwiri							
BELLY_11																																	imo				
BELLY_12																																				ɛi	
BIG_1	kalamba																																				
BIG_2		anen	nən	nene				nɛnɛ	nɛnɛ	nene	nene	monene			nene		nini	omunene						nini									nene				
BIG_3					βaha																																
BIG_4						hanɡo																	hanɡo														
BIG_5							kulukulu													kuu	kʰulu	kulu			ɡuru					kulu		ɡolo			kʰulu		kʰulu
BIG_6													tuna																								
BIG_7														kata												mukata											
BIG_8																wunnuwela																					
BIG_9																			libwavu									kubwa									
BIG_10																											ale										
BIG_11																													pati								
BIG_12																															hombe						
BIG_13																																		hulwane			
BIG_14																																				lai	
BIRD_1	iʧoːni							esone																													
BIRD_2		onon	onwan																																		
BIRD_3				enɲoɲi		ekiɲoɲi	ɲuni		ɲɔni		nuni		ɲuɲuni	koni	ɲuuɲi	mwaanuni			ɲuɲi	nuni	injoni		eɲoɲi	iɲoni		koni	noni			ɲaɲana	ʧiɲaɲani	nɔɲanɪ		ʧinoni			iɲoni
BIRD_4					ndeje							ndeke					ndeje											ndeɡe								ɲɔdi	
BIRD_5										njila																							onjila				
BIRD_6																		okaʤila																			
BIRD_7																						mbalame															
BIRD_8																									ʃiri												
BIRD_9																													imujuni								
BIRD_10																																			intaka		
BITE_1	suma			luma	luma	ruma	luma	oma~oma	roma	lumata			luma	suma	suma	luma		lumata			luma		ruma	ruma	ruma	suma	luma	uma	luma	luma	luma	lʊma	lumana	luma	luma		luma
BITE_2		lop	lop																																		
BITE_3											ta																										
BITE_4												swa																									
BITE_5																	imara																				
BITE_6																			remamaɲo	kazamaɲo																	
BITE_7																						womola															
BITE_8																																				bonz	
BLOOD_1	umulopa						lopa																						bulowa					maloɸa			
BLOOD_2		metʧi																																			
BLOOD_3			məki									makila	mali		maʃi											mase											
BLOOD_4				musaaji																																	
BLOOD_5					sakami			nðakamɛ	θakamɛ							nikʰami							eʃaɡama														
BLOOD_6						obwamba																															
BLOOD_7										maɲinɡa	menɡa																mininɡa										
BLOOD_8														ʃi																		di					
BLOOD_9																	usao																				
BLOOD_10																		ombinzi																			
BLOOD_11																			damu	damu								damu									
BLOOD_12																					iɡazi	ɡazi								nɡati	kʰata				iɡazi		iɡazi
BLOOD_13																								amaraso													
BLOOD_14																									rombe												
BLOOD_15																																	osonde			anda	
BONE_1	ifupa				ifupa		fupa			fuba				mukupa	mufuba		ifuwa		mubwa			p͡fupa				mufufwa		mfupa	icifuwa								
BONE_2		eves	eves								visi																										
BONE_3				ɡɡumba																																	
BONE_4						eiɡufa																	eiɡufa	iɡufa													
BONE_5								eβende	ihende																												
BONE_6												mokua																								kua	
BONE_7													lisapo								itʰambo									rʱambo	rambu	rapɔ		lirapʰo	itʰambo		itʰambo
BONE_8																nikʰuva									fufa												
BONE_9																		esipa		ʃiba													ekepa				
BONE_10																											iɡuha										
BREAST_1	ibeːle			bbeele		omabele				diele		libele	lizwele	bele	dibeele	ipele	mawele		bele	bele	ibele		eibeere	ibere		ebeːle	mbele			vele	vele	bɛlɛ	evele		ibele	bɛlɛ	ibele
BREAST_2		abe	abɛɲ																																		
BREAST_3					itoombo																																
BREAST_4							ʒamu																		zamu									d̪amu			
BREAST_5								nɔndɔ	ɲɔndɔ																												
BREAST_6											beno																										
BREAST_7																		eɡundji																			
BREAST_8																						jere															
BREAST_9																												ziwa									
BREAST_10																													nkolo								
BURN (SOMETHING)_1	pja							βeːβja								vja		pja								fja			pja								
BURN (SOMETHING)_2		dik	ʣiʔi																																		
BURN (SOMETHING)_3				ɡɡja																																	
BURN (SOMETHING)_4					aka	aka				uika							aka						aka				baka	waka									
BURN (SOMETHING)_5							ʦʰwa															psa			ʦʋa							ʂwã					
BURN (SOMETHING)_6									heːhia															hiʃa													
BURN (SOMETHING)_7											joka																										
BURN (SOMETHING)_8												etumba																									
BURN (SOMETHING)_9													tumbuka																								
BURN (SOMETHING)_10														teːma																			tama				
BURN (SOMETHING)_11															kooʃakuoʃa																						
BURN (SOMETHING)_12																			vuʣa	βa										p͡furʱa							
BURN (SOMETHING)_13																					ʧa														ʧa		ʃa
BURN (SOMETHING)_14																																		huʂa			
BURN (SOMETHING)_15																																				sel	
